Time : 44:36.117, Frame: 9.000, Current FPS : 16.531, Average FPS : 16.531, Total FPS : 16.335
Time : 44:36.629, Frame: 38.000, Current FPS : 56.662, Average FPS : 20.544, Total FPS : 35.823
Time : 44:37.146, Frame: 73.000, Current FPS : 67.689, Average FPS : 25.258, Total FPS : 46.296
Time : 44:37.650, Frame: 107.000, Current FPS : 67.435, Average FPS : 29.476, Total FPS : 51.417
Time : 44:38.167, Frame: 140.000, Current FPS : 63.815, Average FPS : 32.910, Total FPS : 53.885
Time : 44:38.687, Frame: 173.000, Current FPS : 63.515, Average FPS : 35.970, Total FPS : 55.490
Time : 44:39.203, Frame: 205.000, Current FPS : 61.967, Average FPS : 38.570, Total FPS : 56.410
Time : 44:39.724, Frame: 246.000, Current FPS : 78.746, Average FPS : 42.588, Total FPS : 59.209
Time : 44:40.242, Frame: 287.000, Current FPS : 79.163, Average FPS : 46.245, Total FPS : 61.421
Time : 44:40.744, Frame: 326.000, Current FPS : 77.598, Average FPS : 49.380, Total FPS : 62.992
Time : 44:41.264, Frame: 348.000, Current FPS : 42.310, Average FPS : 48.673, Total FPS : 61.104
Time : 44:41.782, Frame: 348.000, Current FPS : 0.000, Average FPS : 43.806, Total FPS : 56.007
Time : 44:42.300, Frame: 396.000, Current FPS : 92.750, Average FPS : 48.700, Total FPS : 58.832
Time : 44:42.820, Frame: 439.000, Current FPS : 82.888, Average FPS : 52.119, Total FPS : 60.545
Time : 44:43.336, Frame: 478.000, Current FPS : 75.658, Average FPS : 54.473, Total FPS : 61.541
Time : 44:43.839, Frame: 518.000, Current FPS : 79.635, Average FPS : 56.989, Total FPS : 62.632
Time : 44:44.358, Frame: 548.000, Current FPS : 57.727, Average FPS : 57.063, Total FPS : 62.349
Time : 44:44.879, Frame: 583.000, Current FPS : 67.239, Average FPS : 58.081, Total FPS : 62.623
Time : 44:45.386, Frame: 614.000, Current FPS : 61.082, Average FPS : 58.381, Total FPS : 62.543
Time : 44:45.906, Frame: 644.000, Current FPS : 57.741, Average FPS : 58.317, Total FPS : 62.301
Time : 44:46.427, Frame: 677.000, Current FPS : 63.339, Average FPS : 58.819, Total FPS : 62.351
Time : 44:46.931, Frame: 713.000, Current FPS : 71.359, Average FPS : 60.073, Total FPS : 62.746
Time : 44:47.450, Frame: 748.000, Current FPS : 67.490, Average FPS : 60.815, Total FPS : 62.953
Time : 44:47.970, Frame: 780.000, Current FPS : 61.638, Average FPS : 60.897, Total FPS : 62.898
Time : 44:48.489, Frame: 813.000, Current FPS : 63.772, Average FPS : 61.185, Total FPS : 62.928
Time : 44:49.009, Frame: 848.000, Current FPS : 67.290, Average FPS : 61.795, Total FPS : 63.097
Time : 44:49.512, Frame: 882.000, Current FPS : 67.525, Average FPS : 62.368, Total FPS : 63.257
Time : 44:50.032, Frame: 912.000, Current FPS : 57.745, Average FPS : 61.906, Total FPS : 63.059
Time : 44:50.551, Frame: 947.000, Current FPS : 67.409, Average FPS : 62.456, Total FPS : 63.209
Time : 44:51.070, Frame: 979.000, Current FPS : 61.707, Average FPS : 62.381, Total FPS : 63.159
Time : 44:51.573, Frame: 1006.000, Current FPS : 53.604, Average FPS : 61.504, Total FPS : 62.858
Time : 44:52.093, Frame: 1032.000, Current FPS : 50.032, Average FPS : 60.356, Total FPS : 62.455
Time : 44:52.606, Frame: 1063.000, Current FPS : 60.386, Average FPS : 60.359, Total FPS : 62.393
Time : 44:53.127, Frame: 1098.000, Current FPS : 67.235, Average FPS : 61.047, Total FPS : 62.536
Time : 44:53.643, Frame: 1129.000, Current FPS : 60.062, Average FPS : 60.948, Total FPS : 62.466
Time : 44:54.162, Frame: 1166.000, Current FPS : 71.219, Average FPS : 61.976, Total FPS : 62.710
Time : 44:54.668, Frame: 1205.000, Current FPS : 77.286, Average FPS : 63.507, Total FPS : 63.092
Time : 44:55.188, Frame: 1246.000, Current FPS : 78.964, Average FPS : 65.052, Total FPS : 63.509
Time : 44:55.707, Frame: 1283.000, Current FPS : 71.389, Average FPS : 65.686, Total FPS : 63.709
Time : 44:56.213, Frame: 1311.000, Current FPS : 55.323, Average FPS : 64.650, Total FPS : 63.503
Time : 44:56.733, Frame: 1343.000, Current FPS : 61.486, Average FPS : 64.333, Total FPS : 63.456
Time : 44:57.252, Frame: 1374.000, Current FPS : 59.695, Average FPS : 63.869, Total FPS : 63.366
Time : 44:57.767, Frame: 1406.000, Current FPS : 62.205, Average FPS : 63.703, Total FPS : 63.337
Time : 44:58.287, Frame: 1437.000, Current FPS : 59.597, Average FPS : 63.292, Total FPS : 63.254
Time : 44:58.791, Frame: 1468.000, Current FPS : 61.554, Average FPS : 63.119, Total FPS : 63.217
Time : 44:59.312, Frame: 1488.000, Current FPS : 38.374, Average FPS : 60.644, Total FPS : 62.669
Time : 44:59.831, Frame: 1512.000, Current FPS : 46.239, Average FPS : 59.204, Total FPS : 62.320
Time : 45:00.341, Frame: 1544.000, Current FPS : 62.731, Average FPS : 59.556, Total FPS : 62.328
Time : 45:00.853, Frame: 1568.000, Current FPS : 46.862, Average FPS : 58.287, Total FPS : 62.015
Time : 45:01.372, Frame: 1586.000, Current FPS : 34.662, Average FPS : 55.924, Total FPS : 61.465
Time : 45:01.895, Frame: 1610.000, Current FPS : 45.911, Average FPS : 54.923, Total FPS : 61.156
Time : 45:02.413, Frame: 1635.000, Current FPS : 48.276, Average FPS : 54.258, Total FPS : 60.907
Time : 45:02.921, Frame: 1659.000, Current FPS : 47.277, Average FPS : 53.560, Total FPS : 60.654
Time : 45:03.439, Frame: 1679.000, Current FPS : 38.565, Average FPS : 52.061, Total FPS : 60.243
Time : 45:03.959, Frame: 1695.000, Current FPS : 30.762, Average FPS : 49.931, Total FPS : 59.703
Time : 45:04.465, Frame: 1714.000, Current FPS : 37.574, Average FPS : 48.695, Total FPS : 59.316
Time : 45:04.984, Frame: 1737.000, Current FPS : 44.327, Average FPS : 48.258, Total FPS : 59.050
Time : 45:05.505, Frame: 1760.000, Current FPS : 44.147, Average FPS : 47.847, Total FPS : 58.791
Time : 45:06.011, Frame: 1783.000, Current FPS : 45.465, Average FPS : 47.609, Total FPS : 58.570
Time : 45:06.531, Frame: 1807.000, Current FPS : 46.195, Average FPS : 47.468, Total FPS : 58.362
Time : 45:07.053, Frame: 1832.000, Current FPS : 47.916, Average FPS : 47.512, Total FPS : 58.189
Time : 45:07.569, Frame: 1856.000, Current FPS : 46.453, Average FPS : 47.406, Total FPS : 57.999
Time : 45:08.072, Frame: 1881.000, Current FPS : 49.720, Average FPS : 47.638, Total FPS : 57.871
Time : 45:08.592, Frame: 1904.000, Current FPS : 44.240, Average FPS : 47.298, Total FPS : 57.657
Time : 45:09.111, Frame: 1927.000, Current FPS : 44.280, Average FPS : 46.996, Total FPS : 57.450
Time : 45:09.633, Frame: 1949.000, Current FPS : 42.163, Average FPS : 46.513, Total FPS : 57.215
Time : 45:10.136, Frame: 1967.000, Current FPS : 35.785, Average FPS : 45.440, Total FPS : 56.904
Time : 45:10.653, Frame: 1985.000, Current FPS : 34.815, Average FPS : 44.378, Total FPS : 56.578
Time : 45:11.173, Frame: 2002.000, Current FPS : 32.717, Average FPS : 43.211, Total FPS : 56.230
Time : 45:11.692, Frame: 2023.000, Current FPS : 40.419, Average FPS : 42.932, Total FPS : 56.002
Time : 45:12.210, Frame: 2041.000, Current FPS : 34.749, Average FPS : 42.114, Total FPS : 55.702
